# Etalon;Conductivite;Conductivite_25;Temperature;Tension
2.00;20878.45;12880.00;59.00;266.00
3.00;12320.11;12880.00;22.62;265.00
4.00;12329.52;12880.00;22.66;266.00
5.00;12336.58;12880.00;22.69;267.00
6.00;12336.58;12880.00;22.69;266.00
7.00;12343.63;12880.00;22.72;266.00
8.00;12353.04;12880.00;22.76;266.00
9.00;12360.10;12880.00;22.79;266.00
10.00;12360.10;12880.00;22.79;266.00
11.00;12369.51;12880.00;22.83;267.00
12.00;12376.57;12880.00;22.86;265.00
13.00;12376.57;12880.00;22.86;266.00
14.00;12376.57;12880.00;22.86;266.00
15.00;12393.04;12880.00;22.93;266.00
16.00;12393.04;12880.00;22.93;267.00
17.00;12400.09;12880.00;22.96;267.00
18.00;12400.09;12880.00;22.96;267.00
19.00;12400.09;12880.00;22.96;267.00
20.00;12409.50;12880.00;23.00;266.00
21.00;12416.56;12880.00;23.03;267.00
22.00;12416.56;12880.00;23.03;266.00
23.00;12416.56;12880.00;23.03;265.00
24.00;12416.56;12880.00;23.03;267.00
25.00;12433.03;12880.00;23.10;268.00
26.00;12433.03;12880.00;23.10;267.00
27.00;12433.03;12880.00;23.10;268.00
28.00;12433.03;12880.00;23.10;268.00
29.00;12433.03;12880.00;23.10;266.00
30.00;12433.03;12880.00;23.10;267.00
31.00;12447.14;12880.00;23.16;266.00
32.00;12447.14;12880.00;23.16;266.00
33.00;12440.09;12880.00;23.13;267.00
34.00;12456.55;12880.00;23.20;267.00
35.00;12456.55;12880.00;23.20;265.00
36.00;12456.55;12880.00;23.20;267.00
37.00;12456.55;12880.00;23.20;267.00
38.00;12456.55;12880.00;23.20;265.00
39.00;12463.61;12880.00;23.23;267.00
40.00;12463.61;12880.00;23.23;267.00
41.00;12463.61;12880.00;23.23;266.00
42.00;12463.61;12880.00;23.23;266.00
43.00;12473.02;12880.00;23.27;266.00
44.00;12463.61;12880.00;23.23;266.00
45.00;12473.02;12880.00;23.27;268.00
46.00;12473.02;12880.00;23.27;267.00
47.00;12473.02;12880.00;23.27;266.00
48.00;12480.08;12880.00;23.30;267.00
49.00;12480.08;12880.00;23.30;267.00
50.00;12480.08;12880.00;23.30;266.00
51.00;12480.08;12880.00;23.30;266.00
52.00;12480.08;12880.00;23.30;267.00
53.00;12487.13;12880.00;23.33;266.00
54.00;12496.54;12880.00;23.37;268.00
55.00;12487.13;12880.00;23.33;266.00
56.00;12480.08;12880.00;23.30;265.00
57.00;12487.13;12880.00;23.33;268.00
58.00;12496.54;12880.00;23.37;266.00
59.00;12487.13;12880.00;23.33;265.00
60.00;12496.54;12880.00;23.37;268.00
61.00;12496.54;12880.00;23.37;266.00
62.00;12496.54;12880.00;23.37;266.00
63.00;12496.54;12880.00;23.37;268.00
64.00;12496.54;12880.00;23.37;267.00
65.00;12503.60;12880.00;23.40;266.00
66.00;12503.60;12880.00;23.40;268.00
67.00;12503.60;12880.00;23.40;267.00
68.00;12503.60;12880.00;23.40;265.00
69.00;12503.60;12880.00;23.40;267.00
70.00;12503.60;12880.00;23.40;268.00
71.00;12503.60;12880.00;23.40;265.00
72.00;12503.60;12880.00;23.40;266.00
73.00;12503.60;12880.00;23.40;268.00
74.00;12510.66;12880.00;23.43;268.00
75.00;12503.60;12880.00;23.40;268.00
76.00;12510.66;12880.00;23.43;267.00
77.00;12510.66;12880.00;23.43;267.00
78.00;12510.66;12880.00;23.43;266.00
79.00;12510.66;12880.00;23.43;268.00
80.00;12503.60;12880.00;23.40;266.00
81.00;12510.66;12880.00;23.43;267.00
82.00;12510.66;12880.00;23.43;268.00
83.00;12510.66;12880.00;23.43;266.00
84.00;12510.66;12880.00;23.43;267.00
85.00;12510.66;12880.00;23.43;268.00
86.00;12520.07;12880.00;23.47;266.00
87.00;12520.07;12880.00;23.47;267.00
88.00;12520.07;12880.00;23.47;267.00
89.00;12520.07;12880.00;23.47;266.00
90.00;12520.07;12880.00;23.47;266.00
91.00;12520.07;12880.00;23.47;267.00
92.00;12520.07;12880.00;23.47;266.00
93.00;12520.07;12880.00;23.47;266.00
94.00;12520.07;12880.00;23.47;268.00
95.00;12520.07;12880.00;23.47;267.00
96.00;12520.07;12880.00;23.47;266.00
97.00;12520.07;12880.00;23.47;268.00
98.00;12520.07;12880.00;23.47;267.00
99.00;12527.13;12880.00;23.50;266.00
100.00;12520.07;12880.00;23.47;267.00
101.00;12527.13;12880.00;23.50;268.00
102.00;12520.07;12880.00;23.47;265.00
103.00;12520.07;12880.00;23.47;268.00
104.00;12527.13;12880.00;23.50;269.00
105.00;12527.13;12880.00;23.50;265.00
106.00;12527.13;12880.00;23.50;267.00
107.00;12527.13;12880.00;23.50;268.00
108.00;12527.13;12880.00;23.50;266.00
109.00;12527.13;12880.00;23.50;268.00
110.00;12527.13;12880.00;23.50;269.00
111.00;12527.13;12880.00;23.50;267.00
112.00;12527.13;12880.00;23.50;267.00
113.00;12527.13;12880.00;23.50;268.00
114.00;12527.13;12880.00;23.50;266.00
115.00;12536.54;12880.00;23.54;267.00
116.00;12527.13;12880.00;23.50;269.00
117.00;12527.13;12880.00;23.50;266.00
118.00;12527.13;12880.00;23.50;266.00
119.00;12527.13;12880.00;23.50;268.00
120.00;12536.54;12880.00;23.54;267.00
121.00;12527.13;12880.00;23.50;266.00
122.00;12527.13;12880.00;23.50;268.00
123.00;12527.13;12880.00;23.50;267.00
124.00;12536.54;12880.00;23.54;265.00
125.00;12527.13;12880.00;23.50;269.00
126.00;12527.13;12880.00;23.50;267.00
127.00;12527.13;12880.00;23.50;267.00
128.00;12527.13;12880.00;23.50;268.00
129.00;12527.13;12880.00;23.50;268.00
130.00;12527.13;12880.00;23.50;267.00
131.00;12527.13;12880.00;23.50;267.00
132.00;12527.13;12880.00;23.50;269.00
133.00;12536.54;12880.00;23.54;269.00
134.00;12527.13;12880.00;23.50;268.00
135.00;12527.13;12880.00;23.50;267.00
136.00;12536.54;12880.00;23.54;268.00
137.00;12536.54;12880.00;23.54;266.00
138.00;12527.13;12880.00;23.50;266.00
139.00;12536.54;12880.00;23.54;268.00
140.00;12536.54;12880.00;23.54;267.00
141.00;12527.13;12880.00;23.50;267.00
142.00;12536.54;12880.00;23.54;269.00
143.00;12543.59;12880.00;23.57;267.00
144.00;12527.13;12880.00;23.50;267.00
145.00;12536.54;12880.00;23.54;268.00
146.00;12536.54;12880.00;23.54;267.00
147.00;12536.54;12880.00;23.54;266.00
148.00;12536.54;12880.00;23.54;267.00
149.00;12536.54;12880.00;23.54;267.00
150.00;12536.54;12880.00;23.54;266.00
151.00;12536.54;12880.00;23.54;267.00
152.00;12536.54;12880.00;23.54;268.00
153.00;12536.54;12880.00;23.54;267.00
154.00;12527.13;12880.00;23.50;266.00
155.00;12536.54;12880.00;23.54;268.00
156.00;12527.13;12880.00;23.50;268.00
157.00;12536.54;12880.00;23.54;267.00
158.00;12536.54;12880.00;23.54;269.00
159.00;12536.54;12880.00;23.54;268.00
160.00;12536.54;12880.00;23.54;266.00
161.00;12527.13;12880.00;23.50;269.00
162.00;12536.54;12880.00;23.54;267.00
163.00;12527.13;12880.00;23.50;267.00
164.00;12536.54;12880.00;23.54;267.00
165.00;12536.54;12880.00;23.54;268.00
166.00;12536.54;12880.00;23.54;267.00
167.00;12536.54;12880.00;23.54;267.00
168.00;12536.54;12880.00;23.54;268.00
169.00;12536.54;12880.00;23.54;268.00
170.00;12536.54;12880.00;23.54;267.00
171.00;12536.54;12880.00;23.54;267.00
172.00;12536.54;12880.00;23.54;269.00
173.00;12536.54;12880.00;23.54;269.00
174.00;12536.54;12880.00;23.54;268.00
175.00;12536.54;12880.00;23.54;269.00
176.00;12536.54;12880.00;23.54;270.00
177.00;12536.54;12880.00;23.54;268.00
178.00;12536.54;12880.00;23.54;269.00
179.00;12536.54;12880.00;23.54;268.00
180.00;12536.54;12880.00;23.54;266.00
181.00;12536.54;12880.00;23.54;268.00
182.00;12543.59;12880.00;23.57;269.00
183.00;12543.59;12880.00;23.57;268.00
184.00;12536.54;12880.00;23.54;268.00
185.00;12527.13;12880.00;23.50;268.00
186.00;12536.54;12880.00;23.54;268.00
187.00;12536.54;12880.00;23.54;268.00
188.00;12536.54;12880.00;23.54;269.00
189.00;12536.54;12880.00;23.54;268.00
190.00;12536.54;12880.00;23.54;266.00
191.00;12536.54;12880.00;23.54;268.00
192.00;12536.54;12880.00;23.54;268.00
193.00;12536.54;12880.00;23.54;267.00
194.00;12536.54;12880.00;23.54;268.00
195.00;12536.54;12880.00;23.54;269.00
196.00;12536.54;12880.00;23.54;269.00
197.00;12536.54;12880.00;23.54;266.00
198.00;12536.54;12880.00;23.54;268.00
199.00;12543.59;12880.00;23.57;270.00
200.00;12536.54;12880.00;23.54;266.00
