# Température(°C);Conductivité(uS/cm);Conductivité de l'échantillon à 25°C (uS/cm);Conductivité méthode 2(uS/cm);Conductivité de l'échantillon à 25°C méthode 2 (uS/cm)
0.00;9900.20;10179.08;23.50;295.00
1.00;9866.64;10136.96;23.54;294.00
2.00;9833.08;10102.48;23.54;293.00
3.00;9900.20;10171.44;23.54;295.00
4.00;9866.64;10144.57;23.50;294.00
5.00;9866.64;10144.57;23.50;294.00
6.00;9900.20;10179.08;23.50;295.00
7.00;9900.20;10179.08;23.50;295.00
8.00;9933.76;10205.91;23.54;296.00
9.00;9833.08;10102.48;23.54;293.00
10.00;9900.20;10171.44;23.54;295.00
11.00;9866.64;10136.96;23.54;294.00
12.00;9833.08;10102.48;23.54;293.00
13.00;9866.64;10136.96;23.54;294.00
14.00;9866.64;10136.96;23.54;294.00
15.00;9833.08;10102.48;23.54;293.00
16.00;9799.52;10068.00;23.54;292.00
17.00;9833.08;10102.48;23.54;293.00
18.00;9799.52;10068.00;23.54;292.00
19.00;9799.52;10068.00;23.54;292.00
20.00;9799.52;10062.33;23.57;292.00
21.00;9866.64;10131.25;23.57;294.00
22.00;9866.64;10131.25;23.57;294.00
23.00;9833.08;10096.79;23.57;293.00
24.00;9866.64;10136.96;23.54;294.00
25.00;9900.20;10171.44;23.54;295.00
26.00;9866.64;10136.96;23.54;294.00
27.00;9833.08;10102.48;23.54;293.00
28.00;9866.64;10131.25;23.57;294.00
29.00;9833.08;10102.48;23.54;293.00
30.00;9799.52;10062.33;23.57;292.00
31.00;9799.52;10068.00;23.54;292.00
32.00;9833.08;10091.11;23.60;293.00
33.00;9833.08;10096.79;23.57;293.00
34.00;9866.64;10136.96;23.54;294.00
35.00;9900.20;10171.44;23.54;295.00
36.00;9833.08;10102.48;23.54;293.00
37.00;9866.64;10131.25;23.57;294.00
38.00;9866.64;10131.25;23.57;294.00
39.00;9833.08;10096.79;23.57;293.00
40.00;9833.08;10096.79;23.57;293.00
41.00;9799.52;10068.00;23.54;292.00
42.00;9765.96;10027.87;23.57;291.00
43.00;9799.52;10062.33;23.57;292.00
44.00;9833.08;10096.79;23.57;293.00
45.00;9833.08;10096.79;23.57;293.00
46.00;9866.64;10131.25;23.57;294.00
47.00;9833.08;10096.79;23.57;293.00
48.00;9833.08;10096.79;23.57;293.00
49.00;9799.52;10068.00;23.54;292.00
50.00;9799.52;10062.33;23.57;292.00
51.00;9765.96;10027.87;23.57;291.00
52.00;9799.52;10062.33;23.57;292.00
53.00;9833.08;10102.48;23.54;293.00
54.00;9866.64;10131.25;23.57;294.00
55.00;9866.64;10131.25;23.57;294.00
56.00;9833.08;10091.11;23.60;293.00
57.00;9799.52;10068.00;23.54;292.00
58.00;9833.08;10091.11;23.60;293.00
59.00;9799.52;10068.00;23.54;292.00
60.00;9866.64;10131.25;23.57;294.00
61.00;9833.08;10096.79;23.57;293.00
62.00;9900.20;10165.71;23.57;295.00
63.00;9833.08;10096.79;23.57;293.00
64.00;9833.08;10096.79;23.57;293.00
65.00;9799.52;10062.33;23.57;292.00
66.00;9799.52;10062.33;23.57;292.00
67.00;9866.64;10131.25;23.57;294.00
68.00;9866.64;10131.25;23.57;294.00
69.00;9799.52;10062.33;23.57;292.00
70.00;9833.08;10091.11;23.60;293.00
71.00;9833.08;10096.79;23.57;293.00
72.00;9765.96;10027.87;23.57;291.00
73.00;9799.52;10062.33;23.57;292.00
74.00;9833.08;10096.79;23.57;293.00
75.00;9833.08;10096.79;23.57;293.00
76.00;9799.52;10062.33;23.57;292.00
77.00;9799.52;10062.33;23.57;292.00
78.00;9765.96;10027.87;23.57;291.00
79.00;9833.08;10096.79;23.57;293.00
80.00;9866.64;10131.25;23.57;294.00
81.00;9900.20;10165.71;23.57;295.00
82.00;9833.08;10091.11;23.60;293.00
83.00;9833.08;10096.79;23.57;293.00
84.00;9799.52;10068.00;23.54;292.00
85.00;9866.64;10125.56;23.60;294.00
86.00;9866.64;10131.25;23.57;294.00
87.00;9866.64;10125.56;23.60;294.00
88.00;9799.52;10062.33;23.57;292.00
89.00;9765.96;10027.87;23.57;291.00
90.00;9866.64;10125.56;23.60;294.00
91.00;9833.08;10096.79;23.57;293.00
92.00;9833.08;10096.79;23.57;293.00
93.00;9833.08;10096.79;23.57;293.00
94.00;9833.08;10096.79;23.57;293.00
95.00;9833.08;10096.79;23.57;293.00
96.00;9833.08;10096.79;23.57;293.00
97.00;9799.52;10062.33;23.57;292.00
98.00;9799.52;10062.33;23.57;292.00
99.00;9799.52;10056.67;23.60;292.00
